topic,title,pdf_url
文化传媒,2019年中国数字音乐商用版权市场研究报告,http://pdf.dfcfw.com/pdf/H3_AP201906141335084539_1.pdf
文化传媒,互联网行业：互联网公司的成长性陷阱及价值突围,http://pdf.dfcfw.com/pdf/H3_AP201906141335085872_1.pdf
商业百货,2019年5月社消零售数据点评：五月社消数据符合预期‚关注零售板块防御价值,http://pdf.dfcfw.com/pdf/H3_AP201906141335095629_1.pdf
医药制造,【新药研发CMO/CDMO专题报告】：创新药黄金时代下‚新药研发CMO/CDMO迎发展良机,http://pdf.dfcfw.com/pdf/H3_AP201906141335095628_1.pdf
石油行业,石油开采行业动态点评：OPEC内部存分歧‚减产执行率下降！,http://pdf.dfcfw.com/pdf/H3_AP201906141335095631_1.pdf
化工行业,基础化工行业半年度策略：行业景气高点已过‚安全与环保监管有望重塑供给端,http://pdf.dfcfw.com/pdf/H3_AP201906141335095633_1.pdf
房地产,房地产行业动态：全国 土地推盘去化 情况高频跟踪,http://pdf.dfcfw.com/pdf/H3_AP201906141335095634_1.pdf
有色金属,有色金属行业半年度策略：万物总有刍狗时‚有色周而复始待新期,http://pdf.dfcfw.com/pdf/H3_AP201906141335095635_1.pdf
纺织服装,日本服装行业发展历史及优衣库 SPA 模式变革深度剖析：低速增长期尽显英雄本色‚精细化运营孕育服装龙头,http://pdf.dfcfw.com/pdf/H3_AP201906141335095630_1.pdf
银行,银行行业半年度策略：压力之下存韧性‚底部之上有弹性,http://pdf.dfcfw.com/pdf/H3_AP201906141335095632_1.pdf
文化传媒,传媒行业半年度策略：5G商用化更进一步‚抓住新技术带来行业机会,http://pdf.dfcfw.com/pdf/H3_AP201906141335095636_1.pdf
汽车行业,汽车行业动态：挪威加氢站爆炸‚新能源汽车安全性需长期重视,http://pdf.dfcfw.com/pdf/H3_AP201906141335109384_1.pdf
商业百货,商贸零售行业快报：5月社零增速回升‚期待Q2起零售增速改善,http://pdf.dfcfw.com/pdf/H3_AP201906141335115011_1.pdf
煤炭采选,煤炭行业周报：旺季即将来临‚需求拐点已至,http://pdf.dfcfw.com/pdf/H3_AP201906141335115013_1.pdf
汽车行业,汽车行业2019年中期策略：市场更弱裂变加速‚精选个股静候转,http://pdf.dfcfw.com/pdf/H3_AP201906141335118781_1.pdf
输配电气,电气设备：美国豁免双面组件201关税‚首推光伏玻璃环节,http://pdf.dfcfw.com/pdf/H3_AP201906141335126917_1.pdf
电子信息,信息技术行业动态点评：海外SaaS公司跟踪‚Salesforce收购数据分析巨头Tableau,http://pdf.dfcfw.com/pdf/H3_AP201906121334786113_1.pdf
文化传媒,文化传媒行业周报：超跌个股轮动表现‚继续关注行业白马,http://pdf.dfcfw.com/pdf/H3_AP201906121334798563_1.pdf
食品饮料,食品饮料行业周报：白酒投资逻辑未变‚大众食品获资金青睐,http://pdf.dfcfw.com/pdf/H3_AP201906131334877137_1.pdf
银行,2019年5月金融数据点评：M1与社融增速双回升‚企业中长期融资占比短暂回落,http://pdf.dfcfw.com/pdf/H3_AP201906131334891192_1.pdf
银行,银行5月金融数据点评：增长平稳,http://pdf.dfcfw.com/pdf/H3_AP201906131334891195_1.pdf
环保工程,环保与公用事业周报：垃圾分类政策利好固废细分领域快速发展,http://pdf.dfcfw.com/pdf/H3_AP201906131334891196_1.pdf
券商信托,上市券商5月业绩点评：市场普跌、活跃度下降‚业绩环同比均明显下滑,http://pdf.dfcfw.com/pdf/H3_AP201906131334891197_1.pdf
房地产,房地产行业简报：2019年5月居民部门信贷数据点评-按揭投放意愿维持高位‚二线首套房贷利率分化,http://pdf.dfcfw.com/pdf/H3_AP201906131334891621_1.pdf
通讯行业,通信：科创板估值之云计算-以海外估值为例‚阐述云计算估值方式,http://pdf.dfcfw.com/pdf/H3_AP201906131334891620_1.pdf
纺织服装,纺织服装行业2019年下半年投资策略：十年复盘：行业红利减弱‚龙头溢价凸显,http://pdf.dfcfw.com/pdf/H3_AP201906131334891622_1.pdf
医药制造,医药健康快评：康泰生物收到13价肺炎球菌结合疫苗Ⅲ期临床试验总结报告,http://pdf.dfcfw.com/pdf/H3_AP201906131334893063_1.pdf
石油行业,"6月原油月报：逆经济的""风""‚待OPEC+强化减产的救赎",http://pdf.dfcfw.com/pdf/H3_AP201906131334893177_1.pdf
有色金属,有色金属行业2018年年报总结：一季度业绩有所好转 关注贵金属及低估值加工类个股投资机会,http://pdf.dfcfw.com/pdf/H3_AP201906131334893475_1.pdf
文化传媒,【联讯传媒】在线视频行业头部化及精品化趋势延续‚内容持续加大投入,http://pdf.dfcfw.com/pdf/H3_AP201906121334853005_1.pdf
电子元件,半导体月报第8期：台企前5月同比下滑5.7%‚模拟芯片厂商逆势增长‚表现亮眼,http://pdf.dfcfw.com/pdf/H3_AP201906131334897163_1.pdf
银行,银行：信贷规模同环比回升‚社融如期回升,http://pdf.dfcfw.com/pdf/H3_AP201906131334897162_1.pdf
汽车行业,汽车汽配行业日报,http://pdf.dfcfw.com/pdf/H3_AP201906131334897404_1.pdf
文化传媒,文化传媒行业动态点评：职业技能培训龙头中国东方教育在港上市,http://pdf.dfcfw.com/pdf/H3_AP201906131334898885_1.pdf
旅游酒店,餐饮旅游行业周报：端午假期共接待9598万游客 中免设大兴机场免税公司,http://pdf.dfcfw.com/pdf/H3_AP201906131334899773_1.pdf
汽车行业,汽车行业5月销量数据点评：主动去库存成效显现‚库存压力减小,http://pdf.dfcfw.com/pdf/H3_AP201906131334899775_1.pdf
食品饮料,食品饮料行业周报：高端酒批价坚挺 子行业龙头重获北上资金关注,http://pdf.dfcfw.com/pdf/H3_AP201906131334899774_1.pdf
券商信托,5月金融数据点评：社融增速回升‚企业短贷修复,http://pdf.dfcfw.com/pdf/H3_AP201906131334899780_1.pdf
汽车行业,汽车汽配行业日报,http://pdf.dfcfw.com/pdf/H3_AP201906131334899779_1.pdf
输配电气,新能源电池行业半年度投资策略报告：动能转换提升中游景气‚供需两端推动行业整合,http://pdf.dfcfw.com/pdf/H3_AP201906131334899777_1.pdf
汽车行业,汽车行业半年度投资策略报告：黑夜已过‚迎接黎明,http://pdf.dfcfw.com/pdf/H3_AP201906131334899776_1.pdf
电子元件,电子行业月度报告：布局5G产业链和半导体自主可控的长期投资机会,http://pdf.dfcfw.com/pdf/H3_AP201906131334899772_1.pdf
农牧饲渔,农林牧渔行业月度报告：猪价趋势性上涨行情开启‚继续推荐畜禽养殖板块,http://pdf.dfcfw.com/pdf/H3_AP201906131334905474_1.pdf
通讯行业,通信行业周报：5G建设周期开启‚关注5G产业链前段品种,http://pdf.dfcfw.com/pdf/H3_AP201906131334905476_1.pdf
电力行业,电力行业月报：电价风险基本解除‚气价支撑消费增速,http://pdf.dfcfw.com/pdf/H3_AP201906131334906721_1.pdf
银行,"2019年5月金融数据点评：数据平稳‚不温不火‚需重视流动性""冷热不均""",http://pdf.dfcfw.com/pdf/H3_AP201906131334909725_1.pdf
工程建设,建筑行业动态点评报告：专项债扩用途‚助力基建回暖,http://pdf.dfcfw.com/pdf/H3_AP201906131334909724_1.pdf
银行,银行：5月金融数据点评：社融增速回升‚企业短贷修复,http://pdf.dfcfw.com/pdf/H3_AP201906131334928512_1.pdf
汽车行业,汽车行业动态点评：广汽两本持续领跑 长城打造成功多款爆款车型,http://pdf.dfcfw.com/pdf/H3_AP201906131334931367_1.pdf
银行,银行：5月金融数据点评：社融增速回升‚M2增速环比持平,http://pdf.dfcfw.com/pdf/H3_AP201906131334935534_1.pdf
银行,银行行业月度报告：社融增速回升,http://pdf.dfcfw.com/pdf/H3_AP201906131334948931_1.pdf
有色金属,有色行业周观点报告：发改委研究稀土产业‚贵金属继续看好,http://pdf.dfcfw.com/pdf/H3_AP201906131334948933_1.pdf
券商信托,证券行业5月经营数据点评：交投下滑‚业绩环比回落,http://pdf.dfcfw.com/pdf/H3_AP201906131334948932_1.pdf
券商信托,证券行业点评：科创板大幕开启‚资本市场坚定推进对外开放,http://pdf.dfcfw.com/pdf/H3_AP201906131334950055_1.pdf
通讯行业,通信行业周观点报告：积极推进共享共维 5G牌照超预期发放,http://pdf.dfcfw.com/pdf/H3_AP201906131334953217_1.pdf
化工行业,维生素E行业专题报告：行业并购及工艺变革推动VE行业景气度上行,http://pdf.dfcfw.com/pdf/H3_AP201906131334954052_1.pdf
石油行业,石油开采行业2019年第二十期专题报告：每周油记：三大机构下调全球新增原油需求‚今年内下调12％,http://pdf.dfcfw.com/pdf/H3_AP201906131334954053_1.pdf
输配电气,锂电池行业月报：销量基本符合预期‚关注绩优标的,http://pdf.dfcfw.com/pdf/H3_AP201906131334954055_1.pdf
输配电气,锂电行业2019年下半年度投资策略：新能源汽车行业景气向上 关注四条投资主线,http://pdf.dfcfw.com/pdf/H3_AP201906131334954054_1.pdf
银行,银行行业简评：社融环比改善‚宽松政策可期,http://pdf.dfcfw.com/pdf/H3_AP201906131334954056_1.pdf
环保工程,环保及公用事业行业19年下半年度策略：回归运营属性‚关注固废产业链,http://pdf.dfcfw.com/pdf/H3_AP201906131334954057_1.pdf
医药制造,医药生物行业周观点：2019年医药行业会计信息质量检查来临,http://pdf.dfcfw.com/pdf/H3_AP201906131334954062_1.pdf
交运物流,5月份快递数据点评：业务量保持较快增速‚异地单价降幅收窄,http://pdf.dfcfw.com/pdf/H3_AP201906131334964741_1.pdf
通讯行业,科技行业快评：5G牌照发放后‚简析细分领域的投资机会,http://pdf.dfcfw.com/pdf/H3_AP201906131334967827_1.pdf
纺织服装,纺织服装行业6月第二周周报：5月出口增速有所回升‚储蓄棉成交率继续下降,http://pdf.dfcfw.com/pdf/H3_AP201906131334970183_1.pdf
银行,银行：2019年5月金融统计与社会融资规模数据解析-社融增速微升‚表外融资企稳,http://pdf.dfcfw.com/pdf/H3_AP201906131334970184_1.pdf
券商信托,证券行业5月财务报表分析：交易萎缩‚业绩下滑‚关注中小券商业绩弹性,http://pdf.dfcfw.com/pdf/H3_AP201906131334975401_1.pdf
医药制造,医药生物行业动态：PD-1药物在ASCO年会上展现显著疗效,http://pdf.dfcfw.com/pdf/H3_AP201906131334975403_1.pdf
钢铁行业,中泰钢铁每日速递,http://pdf.dfcfw.com/pdf/H3_AP201906131334976892_1.pdf
房地产,房地产行业月度报告：房价保持平稳‚土地市场降温,http://pdf.dfcfw.com/pdf/H3_AP201906131334978641_1.pdf
交运物流,航运行业深度研究：聚焦IMO限硫令‚油轮上行催化进入验证期,http://pdf.dfcfw.com/pdf/H3_AP201906131334978642_1.pdf
农牧饲渔,农林牧渔行业：生猪产能再次持续扩大‚猪价进入上行通道,http://pdf.dfcfw.com/pdf/H3_AP201906131334983112_1.pdf
输配电气,电气设备：美国排除对双面组件的201条款限制 利好双面组件相关产业链,http://pdf.dfcfw.com/pdf/H3_AP201906131334983114_1.pdf
房地产,房地产行业深度报告：房企融资渠道现状与趋势：结构稳定‚证券市场融资占比回升,http://pdf.dfcfw.com/pdf/H3_AP201906131334983113_1.pdf
输配电气,电力设备与新能源行业点评：5月电动车销量同比增速回落‚环比微增,http://pdf.dfcfw.com/pdf/H3_AP201906131334986576_1.pdf
输配电气,电气设备与新能源行业点评：5月装机5.4gwh‚环比微增5%‚符合预期,http://pdf.dfcfw.com/pdf/H3_AP201906121334733045_1.pdf
汽车行业,汽车行业点评：5月乘用车批发符合预期‚国五库存加速去化,http://pdf.dfcfw.com/pdf/H3_AP201906121334736194_1.pdf
汽车行业,汽车和汽车零部件行业研究：终端促销清库零售环比改善‚市场需求仍待激发,http://pdf.dfcfw.com/pdf/H3_AP201906121334736195_1.pdf
医药制造,医药生物行业周报：不经历风雨‚怎么见彩虹。,http://pdf.dfcfw.com/pdf/H3_AP201906121334741231_1.pdf
商业百货,零售行业点评报告：端午假期消费市场略低于预期‚维持推荐必选消费,http://pdf.dfcfw.com/pdf/H3_AP201906121334741961_1.pdf
银行,银行行业专题研究：当前银行资产质量怎么看？,http://pdf.dfcfw.com/pdf/H3_AP201906121334741962_1.pdf
通讯行业,通信行业深度：5G全面开建‚网规网优、配套工程迎来高光时刻,http://pdf.dfcfw.com/pdf/H3_AP201906121334741963_1.pdf
环保工程,环保及公用事业行业周报：垃圾分类有望加速推进‚管网公平开放办法出台利好产业链提效,http://pdf.dfcfw.com/pdf/H3_AP201906121334747208_1.pdf
环保工程,节能环保行业专题报告：节能环保行业科创板受理企业概览（三）,http://pdf.dfcfw.com/pdf/H3_AP201906121334748570_1.pdf
化工行业,"""炼化-化纤""产业链周报：湄洲湾石化基地6200万吨炼化一体化项目总体发展规划出台",http://pdf.dfcfw.com/pdf/H3_AP201906121334748574_1.pdf
机械行业,机械行业2019年下半年投资策略,http://pdf.dfcfw.com/pdf/H3_AP201906121334748571_1.pdf
汽车行业,汽车行业动态点评：5月经销商库存系数环比下降18% 自主品牌库存改善较大,http://pdf.dfcfw.com/pdf/H3_AP201906121334751117_1.pdf
电子信息,信息技术行业动态点评：海外SaaS公司跟踪‚Veeva2020财年Q1净利润率大幅提升,http://pdf.dfcfw.com/pdf/H3_AP201906121334751124_1.pdf
通讯行业,5G热点电话会：5G与车联网遥相呼应‚高新兴领先布局,http://pdf.dfcfw.com/pdf/H3_AP201906121334760482_1.pdf
电子信息,计算机行业动态：第三方支付行业仍处整合转型期‚利好经营规范龙头公司,http://pdf.dfcfw.com/pdf/H3_AP201906121334762451_1.pdf
航天航空,军工行业周报：国资委授权放权清单发布‚催化军工国企体制改革进程,http://pdf.dfcfw.com/pdf/H3_AP201906121334762452_1.pdf
装修装饰,建筑行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763494_1.pdf
旅游酒店,社会服务行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763488_1.pdf
交运设备,交运设备行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763493_1.pdf
有色金属,有色金属行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763489_1.pdf
公用事业,公用事业行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763490_1.pdf
食品饮料,食品饮料行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763491_1.pdf
航天航空,航天军工行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763545_1.pdf
交运物流,交通运输行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763492_1.pdf
输配电气,电力设备与新能源行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763542_1.pdf
农牧饲渔,农林牧渔行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763549_1.pdf
造纸印刷,轻工制造行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763546_1.pdf
券商信托,非银行金融行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763547_1.pdf
机械行业,机械设备行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763548_1.pdf
化工行业,石油化工行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763544_1.pdf
家电行业,家用电器行业周报（第二十四周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334763957_1.pdf
银行,银行：打新系列之五：科创板打新系列（二）：科创板上市在即‚把握打新收益,http://pdf.dfcfw.com/pdf/H3_AP201906121334763953_1.pdf
电子信息,TMT一周谈之计算机：政策频出‚关注医疗IT投资机会,http://pdf.dfcfw.com/pdf/H3_AP201906121334763956_1.pdf
水泥建材,建材行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334771020_1.pdf
医药制造,医药行业周报：2019年医改重点工作任务出台,http://pdf.dfcfw.com/pdf/H3_AP201906121334771018_1.pdf
商业百货,商业贸易行业周报：5G时代零售业展望,http://pdf.dfcfw.com/pdf/H3_AP201906121334771015_1.pdf
机械行业,工程机械行业事件点评：5月挖掘机销售小幅回落符合预期‚全年增长不悲观,http://pdf.dfcfw.com/pdf/H3_AP201906121334771022_1.pdf
钢铁行业,黑色金属行业周报（第二十三周）,http://pdf.dfcfw.com/pdf/H3_AP201906121334771019_1.pdf
公用事业,电力及公用事业：2019年下半年环保公用投资策略,http://pdf.dfcfw.com/pdf/H3_AP201906121334772024_1.pdf
食品饮料,"食品饮料行业六月第一周周报：食品饮料行业：中美贸易战升级食品饮料成为避险优选""618""迎来史上最强开局",http://pdf.dfcfw.com/pdf/H3_AP201906121334771031_1.pdf
化工行业,石油化工行业2019年下半年投资策略：油价紧平衡‚看好轻烃裂解和PTA景气,http://pdf.dfcfw.com/pdf/H3_AP201906121334774135_1.pdf
券商信托,非银2019年中期投资策略：科创临近关注龙头券商‚盈利拐点左侧布局中国财险,http://pdf.dfcfw.com/pdf/H3_AP201906121334774682_1.pdf
医药制造,医药《关于按疾病诊断相关分组付费国家试点城市名单的通知》点评：30个城市启动按病种付费制度‚推进行业转型升级创新发展,http://pdf.dfcfw.com/pdf/H3_AP201906121334776479_1.pdf
化工行业,化工周报：化工品价格仍下跌为主‚关注低成本龙头左侧布局机会,http://pdf.dfcfw.com/pdf/H3_AP201906121334777081_1.pdf
有色金属,有色金属行业月度报告：稀土价格上涨‚关注黄金机会,http://pdf.dfcfw.com/pdf/H3_AP201906121334777080_1.pdf
电子信息,计算机-科创板双周报：发行冲刺在即‚申购门槛提高,http://pdf.dfcfw.com/pdf/H3_AP201906121334777079_1.pdf
化工行业,石油化工行业周报：规律与演变‚乙烯历史价差与盈利周期分析,http://pdf.dfcfw.com/pdf/H3_AP201906121334777082_1.pdf
旅游酒店,休闲服务行业周报：端午出行需求受到高考影响‚美国再次收紧签证办理,http://pdf.dfcfw.com/pdf/H3_AP201906121334777086_1.pdf
家电行业,家电周报：三部门推动重点消费品更新升级‚中长期配置板块龙头确定性强,http://pdf.dfcfw.com/pdf/H3_AP201906121334777085_1.pdf
医药制造,浙江省医用耗材采购模式思考之一：医药行业：建目录定底价‚双标综合评审‚浙江模式引导联盟化采购趋势,http://pdf.dfcfw.com/pdf/H3_AP201906121334777088_1.pdf
文化传媒,传媒行业半年度投资策略报告：关注新机遇‚精选细分赛道龙头,http://pdf.dfcfw.com/pdf/H3_AP201906121334777087_1.pdf
纺织服装,纺织服装行业周报：运动细分赛道表现良好‚618关注电商渠道下沉,http://pdf.dfcfw.com/pdf/H3_AP201906121334777083_1.pdf
有色金属,有色金属行业2019年下半年策略报告：有破有立,http://pdf.dfcfw.com/pdf/H3_AP201906121334777090_1.pdf
汽车行业,"汽车周报：三部委发布""推动重点消费品更新升级正式方案""定总体基调‚自主权给予地方落实执行‚5月最后一周零售转正‚同比5%",http://pdf.dfcfw.com/pdf/H3_AP201906121334777084_1.pdf
银行,银行业周报169期：宽松政策被央行确认‚两家理财子公司开业,http://pdf.dfcfw.com/pdf/H3_AP201906121334779427_1.pdf
装修装饰,建筑装饰事件点评：融资渠道扩张‚基建投资再起,http://pdf.dfcfw.com/pdf/H3_AP201906121334780700_1.pdf
券商信托,非银行金融行业：受市场震荡下行以及交投回落影响‚5月券商业绩承压,http://pdf.dfcfw.com/pdf/H3_AP201906121334780855_1.pdf
输配电气,电新行业周报：风电抢装发展加速‚设备制造或将受益,http://pdf.dfcfw.com/pdf/H3_AP201906121334782388_1.pdf
石油行业,石油开采行业周报2019年第二十二期专题报告：我们与华尔街分歧小于 100 万桶‚短期油价大概率震荡！,http://pdf.dfcfw.com/pdf/H3_AP201906121334784590_1.pdf
农牧饲渔,农业周报：短暂回调不改上涨趋势‚继续看好下半年猪价,http://pdf.dfcfw.com/pdf/H3_AP201906121334784589_1.pdf
钢铁行业,中泰钢铁每日速递,http://pdf.dfcfw.com/pdf/H3_AP201906121334784597_1.pdf
环保工程,环保行业2019年中期投资策略：长江修复攻坚战开启‚推荐水务、监测、固废领域,http://pdf.dfcfw.com/pdf/H3_AP201906121334784596_1.pdf
水泥建材,非金属建材行业2019年度中期投资策略：潮起海天阔‚扬帆正当时,http://pdf.dfcfw.com/pdf/H3_AP201906121334784594_1.pdf
汽车行业,汽车行业动态点评：再获政策支持‚新能源汽车市场需求获新增量,http://pdf.dfcfw.com/pdf/H3_AP201906121334786109_1.pdf
医药制造,医药生物行业研究周报：医药政策密集出台‚建议关注医疗器械和创新药板块,http://pdf.dfcfw.com/pdf/H3_AP201906121334787290_1.pdf
机械行业,机械设备行业中期策略报告：传统机械关注油服、先进制造聚焦半导体‚基础件看国产替代,http://pdf.dfcfw.com/pdf/H3_AP201906121334787735_1.pdf
化工行业,基础化工行业周报：油价止跌‚萤石、EC持续提涨‚醋酸、烧碱小幅回升,http://pdf.dfcfw.com/pdf/H3_AP201906121334787288_1.pdf
医药制造,医药生物行业投资策略：医改深入推进‚医药产业持续变革,http://pdf.dfcfw.com/pdf/H3_AP201906121334787407_1.pdf
机械行业,挖掘机月度数据点评：5月挖机销量减2.2%‚关注龙头企业,http://pdf.dfcfw.com/pdf/H3_AP201906121334789253_1.pdf
食品饮料,食品饮料行业深度研究：二次加速：益生菌开启阿尔法投资黄金十年,http://pdf.dfcfw.com/pdf/H3_AP201906121334793576_1.pdf
汽车行业,车载MEMS及智能传感器研究：汽车之眼：看清ADAS未来发展之路,http://pdf.dfcfw.com/pdf/H3_AP201906121334797546_1.pdf
电子信息,计算机行业周报：深解：医疗信息化性价比再提升！,http://pdf.dfcfw.com/pdf/H3_AP201906121334798559_1.pdf
玻璃陶瓷,玻璃制造行业点评：沙河玻璃有望再停产‚利好行业龙头,http://pdf.dfcfw.com/pdf/H3_AP201906121334798562_1.pdf
纺织服装,运动服饰行业深度报告之一：两强林立‚国货雄起‚运动时尚引领潮流,http://pdf.dfcfw.com/pdf/H3_AP201906121334798560_1.pdf
煤炭采选,煤炭行业债务分析专题深度报告：煤企平均资产负债率降至 70%以内‚煤价尚需维持相对高位,http://pdf.dfcfw.com/pdf/H3_AP201906121334800709_1.pdf
钢铁行业,钢铁行业2019年中期投资策略：基建投资加大‚钢铁需求升级,http://pdf.dfcfw.com/pdf/H3_AP201906121334809212_1.pdf
